,Unnamed: 0_x,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-L,Unnamed: 0_y,User-ID,Book-Rating,Unnamed: 0,Location,Age,City,State,Country
0,64037,0380772906,Lord of Thunder An Avon Romantic Treasure,Emma Merritt,1994,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380772906.01.LZZZZZZZ.jpg,633762,153662,9,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
1,102975,0812538935,Starswarm A Jupiter Novel,Jerry Pournelle,1999,Tor Books,http://images.amazon.com/images/P/0812538935.01.LZZZZZZZ.jpg,636952,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
2,21204,0380978091,The House of Gentle Men,Kathy Hepinstall,2000,William Morrow,http://images.amazon.com/images/P/0380978091.01.LZZZZZZZ.jpg,634000,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
3,216600,0440226759,The Hunchback of Notre Dame,Victor Hugo,1996,Laurel-Leaf Books,http://images.amazon.com/images/P/0440226759.01.LZZZZZZZ.jpg,634466,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
4,35508,0505524090,Dark Challenge,Christine Feehan,2000,Love Spell,http://images.amazon.com/images/P/0505524090.01.LZZZZZZZ.jpg,635247,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
5,70567,0380817411,The Outlaw and the Lady Avon Romantic Treasures,Lorraine Heath,2001,Avon,http://images.amazon.com/images/P/0380817411.01.LZZZZZZZ.jpg,633947,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
6,144777,0843942231,No Angel s Grace,Linda Winstead,1997,Leisure Books,http://images.amazon.com/images/P/0843942231.01.LZZZZZZZ.jpg,637359,153662,7,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
7,101023,0505523388,Tonight or Never Legendary Lovers,Dara Joy,1997,Dorchester Publishing Company,http://images.amazon.com/images/P/0505523388.01.LZZZZZZZ.jpg,635233,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
8,101681,0553270478,The Cherokee Trail,Louis L'Amour,1982,Bantam Books,http://images.amazon.com/images/P/0553270478.01.LZZZZZZZ.jpg,635603,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
9,61391,0517035820,Agatha Christie Five Classic Murder Mysteries,Agatha Christie,1990,Random House Value Publishing,http://images.amazon.com/images/P/0517035820.01.LZZZZZZZ.jpg,635479,153662,5,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
10,63168,0505523728,Dark Prince,Christine Feehan,1999,Love Spell,http://images.amazon.com/images/P/0505523728.01.LZZZZZZZ.jpg,635237,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
11,217506,0373835035,Take 5 Volume 7 Heartwarming Love Stories,Diana Palmer,2002,Harlequin,http://images.amazon.com/images/P/0373835035.01.LZZZZZZZ.jpg,633593,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
12,3630,0446604763,Mayday,Thomas Block,1998,Warner Books,http://images.amazon.com/images/P/0446604763.01.LZZZZZZZ.jpg,634702,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
13,218700,1578860008,Romantic Hearts A Personal Reference for Romance Readers,Peggy J. Jaegly,1997,Scarecrow Trade,http://images.amazon.com/images/P/1578860008.01.LZZZZZZZ.jpg,637949,153662,8,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
14,13204,0373835795,Simply Scandalous Simply Harlequin,Carly Phillips,2003,Harlequin,http://images.amazon.com/images/P/0373835795.01.LZZZZZZZ.jpg,633598,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
15,1543,0380814021,The Princess Diaries,Meg Cabot,2001,HarperTrophy,http://images.amazon.com/images/P/0380814021.01.LZZZZZZZ.jpg,633925,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
16,218707,1559710217,Arctic Animals,Fred Bruemmer,1987,Northword Press,http://images.amazon.com/images/P/1559710217.01.LZZZZZZZ.jpg,637810,153662,9,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
17,31290,0373123728,The Billionaire s Contract Bride,Carol Marinelli,2004,Harlequin,http://images.amazon.com/images/P/0373123728.01.LZZZZZZZ.jpg,633015,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
18,218092,0517023334,Hubble Bubble A Book of Witches and Wizards Happy Ending Series,John Patience,1990,Haynes Publications,http://images.amazon.com/images/P/0517023334.01.LZZZZZZZ.jpg,635477,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
19,34458,0590410903,The Ghost of Canby Hall Girls of Canby Hall No 25,Emily Chase,1987,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/0590410903.01.LZZZZZZZ.jpg,635904,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
20,82838,055329976X,A Cold Day in Hell The Spring Creek Encounters the Cedar Creek Fight With Sitting Bull s Sioux and the Dull Knife Battle November 25 1876 Plainsmen Paperback,Terry C. Johnston,1996,Bantam Books,http://images.amazon.com/images/P/055329976X.01.LZZZZZZZ.jpg,635663,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
21,7540,0316899984,River Cross My Heart,Breena Clarke,1999,Little Brown &amp; Company,http://images.amazon.com/images/P/0316899984.01.LZZZZZZZ.jpg,632652,153662,5,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
22,216291,0307235394,Addition Grades 1 2 Step Ahead Golden Books Workbook,KAREN LINDBERG,1984,Golden Books,http://images.amazon.com/images/P/0307235394.01.LZZZZZZZ.jpg,632439,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
23,216170,1573249149,For Goddess Sake Get the Girls Together and Have Some Fun,Hailey D. D. Klein,2004,Conari Press,http://images.amazon.com/images/P/1573249149.01.LZZZZZZZ.jpg,637905,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
24,15973,038075620X,Night Fire,Catherine Coulter,1989,Avon,http://images.amazon.com/images/P/038075620X.01.LZZZZZZZ.jpg,633717,153662,10,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
25,216118,0553483099,Spring Break Silver Blades,Melissa Lowell,1995,Skylark Books,http://images.amazon.com/images/P/0553483099.01.LZZZZZZZ.jpg,635694,153662,0,153661,"ft. stewart, georgia, usa",44.0,ft. stewart,georgia,Usa
